Outlet,Date,PLU,Item,Qty,Amount
AL NAHDA,26/08/2026,132,BEEF MSL,3,51.00
AL NAHDA,26/08/2026,133,PRAWNS MSL,3,51.00
AL NAHDA,26/08/2026,134,GARLIC CHKN,4,68.00
AL NAHDA,26/08/2026,135,MTR MSHRM,4,60.00
AL NAHDA,26/08/2026,136,PNR KADAI,3,45.00
AL NAHDA,26/08/2026,137,PALAK PNR,4,48.00
AL NAHDA,26/08/2026,138,MSHRM MSL,5,50.00
AL NAHDA,26/08/2026,139,CHKN KADAI,3,48.00
AL NAHDA,26/08/2026,140,PNR BTR MSL,2,34.00
AL NAHDA,26/08/2026,141,PRAWNS CHILLI,3,51.00
AL NAHDA,26/08/2026,142,CHILLI PNR,2,34.00
AL NAHDA,26/08/2026,143,MTR PNR,3,51.00
AL NAHDA,26/08/2026,144,CHKN MANCHURIAN,4,68.00
AL NAHDA,26/08/2026,145,GOBI MSL,3,51.00
AL NAHDA,26/08/2026,146,PEPPER CHKN,3,51.00
AL NAHDA,26/08/2026,DLV,DELIVERY CHARGE,6,30.00
AL NAHDA,27/08/2026,52a,KARAK FLASK 1L,1,35.00
AL NAHDA,27/08/2026,52b,KARAK FLASK 2L,1,55.00
AL NAHDA,27/08/2026,53a,COFFEE MILK FLASK 1L,1,50.00
AL NAHDA,27/08/2026,53b,COFFEE MILK FLASK 2L,1,60.00
AL NAHDA,27/08/2026,54a,HABBAT AL HAMRA 1L,1,50.00
AL NAHDA,27/08/2026,54b,HABBAT AL HAMRA 2L,1,70.00
AL NAHDA,27/08/2026,55a,CAPPUCCINO SML,19,95.00
AL NAHDA,27/08/2026,55b,CAPPUCCINO LRG,17,136.00
AL NAHDA,27/08/2026,56a,SAHALAB SML,19,95.00
AL NAHDA,27/08/2026,56b,SAHALAB LRG,14,112.00
AL NAHDA,27/08/2026,57a,KASHMIRI TEA SML,16,80.00
AL NAHDA,27/08/2026,57b,KASHMIRI TEA LRG,18,144.00
AL NAHDA,27/08/2026,58a,BOOST SML,17,85.00
AL NAHDA,27/08/2026,58b,BOOST LRG,20,160.00
AL NAHDA,27/08/2026,59a,HORLICKS SML,19,95.00
AL NAHDA,27/08/2026,59b,HORLICKS LRG,21,168.00
AL NAHDA,27/08/2026,60a,HOT CHOC SML,20,100.00
AL NAHDA,27/08/2026,60b,HOT CHOC LRG,20,160.00
AL NAHDA,27/08/2026,61,HONEY CAKE,6,66.00
AL NAHDA,27/08/2026,62,ZAFRAN CAKE,5,70.00
AL NAHDA,27/08/2026,63,LOTUS CAKE,5,55.00
AL NAHDA,27/08/2026,64a,KARAK DELIVERY S,26,39.00
AL NAHDA,27/08/2026,64b,KARAK DELIVERY M,17,51.00
AL NAHDA,27/08/2026,64c,KARAK DELIVERY L,13,65.00
AL NAHDA,27/08/2026,126,B/CHKN,4,68.00
AL NAHDA,27/08/2026,127,CHKN WINGS,3,54.00
AL NAHDA,27/08/2026,128,CHKN 65 DRY,4,68.00
AL NAHDA,27/08/2026,129,DAL FRY,4,40.00
AL NAHDA,27/08/2026,130,GREEN PEAS MSL,5,50.00
AL NAHDA,27/08/2026,131,CHKN CHILLI,4,68.00
AL NAHDA,27/08/2026,132,BEEF MSL,4,68.00
AL NAHDA,27/08/2026,133,PRAWNS MSL,4,68.00
AL NAHDA,27/08/2026,134,GARLIC CHKN,4,68.00
AL NAHDA,27/08/2026,135,MTR MSHRM,3,45.00
AL NAHDA,27/08/2026,136,PNR KADAI,4,60.00
AL NAHDA,27/08/2026,137,PALAK PNR,5,60.00
AL NAHDA,27/08/2026,138,MSHRM MSL,4,40.00
AL NAHDA,27/08/2026,139,CHKN KADAI,3,48.00
AL NAHDA,27/08/2026,140,PNR BTR MSL,3,51.00
AL NAHDA,27/08/2026,141,PRAWNS CHILLI,4,68.00
AL NAHDA,27/08/2026,142,CHILLI PNR,3,51.00
AL NAHDA,27/08/2026,143,MTR PNR,4,68.00
AL NAHDA,27/08/2026,144,CHKN MANCHURIAN,3,51.00
AL NAHDA,27/08/2026,145,GOBI MSL,3,51.00
AL NAHDA,27/08/2026,146,PEPPER CHKN,4,68.00
AL NAHDA,27/08/2026,DLV,DELIVERY CHARGE,5,25.00
AL NAHDA,28/08/2026,52a,KARAK FLASK 1L,2,70.00
AL NAHDA,28/08/2026,52b,KARAK FLASK 2L,1,55.00
AL NAHDA,28/08/2026,53a,COFFEE MILK FLASK 1L,1,50.00
AL NAHDA,28/08/2026,53b,COFFEE MILK FLASK 2L,1,60.00
AL NAHDA,28/08/2026,54a,HABBAT AL HAMRA 1L,1,50.00
AL NAHDA,28/08/2026,54b,HABBAT AL HAMRA 2L,1,70.00
AL NAHDA,28/08/2026,55a,CAPPUCCINO SML,23,115.00
AL NAHDA,28/08/2026,55b,CAPPUCCINO LRG,19,152.00
AL NAHDA,28/08/2026,56a,SAHALAB SML,24,120.00
AL NAHDA,28/08/2026,56b,SAHALAB LRG,15,120.00
AL NAHDA,28/08/2026,57a,KASHMIRI TEA SML,24,120.00
AL NAHDA,28/08/2026,57b,KASHMIRI TEA LRG,17,136.00
AL NAHDA,28/08/2026,58a,BOOST SML,24,120.00
AL NAHDA,28/08/2026,58b,BOOST LRG,18,144.00
AL NAHDA,28/08/2026,59a,HORLICKS SML,17,85.00
AL NAHDA,28/08/2026,59b,HORLICKS LRG,27,216.00
AL NAHDA,28/08/2026,60a,HOT CHOC SML,26,130.00
AL NAHDA,28/08/2026,60b,HOT CHOC LRG,26,208.00
AL NAHDA,28/08/2026,61,HONEY CAKE,4,44.00
AL NAHDA,28/08/2026,62,ZAFRAN CAKE,4,56.00
AL NAHDA,28/08/2026,63,LOTUS CAKE,6,66.00
AL NAHDA,28/08/2026,64a,KARAK DELIVERY S,23,34.50
AL NAHDA,28/08/2026,64b,KARAK DELIVERY M,34,102.00
AL NAHDA,28/08/2026,64c,KARAK DELIVERY L,18,90.00
AL NAHDA,28/08/2026,126,B/CHKN,3,51.00
AL NAHDA,28/08/2026,127,CHKN WINGS,4,72.00
AL NAHDA,28/08/2026,128,CHKN 65 DRY,4,68.00
AL NAHDA,28/08/2026,129,DAL FRY,4,40.00
AL NAHDA,28/08/2026,130,GREEN PEAS MSL,4,40.00
AL NAHDA,28/08/2026,131,CHKN CHILLI,3,51.00
AL NAHDA,28/08/2026,132,BEEF MSL,5,85.00
AL NAHDA,28/08/2026,133,PRAWNS MSL,5,85.00
AL NAHDA,28/08/2026,134,GARLIC CHKN,5,85.00
AL NAHDA,28/08/2026,135,MTR MSHRM,4,60.00
AL NAHDA,28/08/2026,136,PNR KADAI,5,75.00
AL NAHDA,28/08/2026,137,PALAK PNR,7,84.00
AL NAHDA,28/08/2026,138,MSHRM MSL,7,70.00
AL NAHDA,28/08/2026,139,CHKN KADAI,4,64.00
AL NAHDA,28/08/2026,140,PNR BTR MSL,4,68.00
AL NAHDA,28/08/2026,141,PRAWNS CHILLI,4,68.00
AL NAHDA,28/08/2026,142,CHILLI PNR,5,85.00
AL NAHDA,28/08/2026,143,MTR PNR,4,68.00
AL NAHDA,28/08/2026,144,CHKN MANCHURIAN,4,68.00
AL NAHDA,28/08/2026,145,GOBI MSL,3,51.00
AL NAHDA,28/08/2026,146,PEPPER CHKN,4,68.00
AL NAHDA,28/08/2026,DLV,DELIVERY CHARGE,7,35.00
AL NAHDA,29/08/2026,52a,KARAK FLASK 1L,3,105.00
AL NAHDA,29/08/2026,52b,KARAK FLASK 2L,2,110.00
AL NAHDA,29/08/2026,53a,COFFEE MILK FLASK 1L,2,100.00
AL NAHDA,29/08/2026,53b,COFFEE MILK FLASK 2L,1,60.00
AL NAHDA,29/08/2026,54a,HABBAT AL HAMRA 1L,1,50.00
AL NAHDA,29/08/2026,54b,HABBAT AL HAMRA 2L,1,70.00
AL NAHDA,29/08/2026,55a,CAPPUCCINO SML,25,125.00
AL NAHDA,29/08/2026,55b,CAPPUCCINO LRG,23,184.00
AL NAHDA,29/08/2026,56a,SAHALAB SML,19,95.00
AL NAHDA,29/08/2026,56b,SAHALAB LRG,26,208.00
AL NAHDA,29/08/2026,57a,KASHMIRI TEA SML,18,90.00
AL NAHDA,29/08/2026,57b,KASHMIRI TEA LRG,28,224.00
AL NAHDA,29/08/2026,58a,BOOST SML,20,100.00
AL NAHDA,29/08/2026,58b,BOOST LRG,25,200.00
AL NAHDA,29/08/2026,59a,HORLICKS SML,23,115.00
AL NAHDA,29/08/2026,59b,HORLICKS LRG,20,160.00
AL NAHDA,29/08/2026,60a,HOT CHOC SML,20,100.00
AL NAHDA,29/08/2026,60b,HOT CHOC LRG,22,176.00
AL NAHDA,29/08/2026,61,HONEY CAKE,4,44.00
AL NAHDA,29/08/2026,62,ZAFRAN CAKE,5,70.00
AL NAHDA,29/08/2026,63,LOTUS CAKE,6,66.00
AL NAHDA,29/08/2026,64a,KARAK DELIVERY S,23,34.50
AL NAHDA,29/08/2026,64b,KARAK DELIVERY M,33,99.00
AL NAHDA,29/08/2026,64c,KARAK DELIVERY L,22,110.00
AL NAHDA,29/08/2026,126,B/CHKN,4,68.00
AL NAHDA,29/08/2026,127,CHKN WINGS,4,72.00
AL NAHDA,29/08/2026,128,CHKN 65 DRY,4,68.00
AL NAHDA,29/08/2026,129,DAL FRY,5,50.00
AL NAHDA,29/08/2026,130,GREEN PEAS MSL,5,50.00
AL NAHDA,29/08/2026,131,CHKN CHILLI,5,85.00
AL NAHDA,29/08/2026,132,BEEF MSL,5,85.00
AL NAHDA,29/08/2026,133,PRAWNS MSL,4,68.00
AL NAHDA,29/08/2026,134,GARLIC CHKN,4,68.00
AL NAHDA,29/08/2026,135,MTR MSHRM,4,60.00
AL NAHDA,29/08/2026,136,PNR KADAI,4,60.00
AL NAHDA,29/08/2026,137,PALAK PNR,5,60.00
AL NAHDA,29/08/2026,138,MSHRM MSL,6,60.00
AL NAHDA,29/08/2026,139,CHKN KADAI,6,96.00
AL NAHDA,29/08/2026,140,PNR BTR MSL,3,51.00
AL NAHDA,29/08/2026,141,PRAWNS CHILLI,5,85.00
AL NAHDA,29/08/2026,142,CHILLI PNR,3,51.00
AL NAHDA,29/08/2026,143,MTR PNR,6,102.00
AL NAHDA,29/08/2026,144,CHKN MANCHURIAN,4,68.00
AL NAHDA,29/08/2026,145,GOBI MSL,3,51.00
AL NAHDA,29/08/2026,146,PEPPER CHKN,4,68.00
AL NAHDA,29/08/2026,DLV,DELIVERY CHARGE,5,25.00
AL NAHDA,30/08/2026,52a,KARAK FLASK 1L,2,70.00
AL NAHDA,30/08/2026,52b,KARAK FLASK 2L,1,55.00
AL NAHDA,30/08/2026,53a,COFFEE MILK FLASK 1L,1,50.00
AL NAHDA,30/08/2026,53b,COFFEE MILK FLASK 2L,1,60.00
AL NAHDA,30/08/2026,54a,HABBAT AL HAMRA 1L,1,50.00
AL NAHDA,30/08/2026,54b,HABBAT AL HAMRA 2L,1,70.00
AL NAHDA,30/08/2026,55a,CAPPUCCINO SML,18,90.00
AL NAHDA,30/08/2026,55b,CAPPUCCINO LRG,13,104.00
AL NAHDA,30/08/2026,56a,SAHALAB SML,22,110.00
AL NAHDA,30/08/2026,56b,SAHALAB LRG,21,168.00
AL NAHDA,30/08/2026,57a,KASHMIRI TEA SML,19,95.00
AL NAHDA,30/08/2026,57b,KASHMIRI TEA LRG,18,144.00
AL NAHDA,30/08/2026,58a,BOOST SML,15,75.00
AL NAHDA,30/08/2026,58b,BOOST LRG,19,152.00
AL NAHDA,30/08/2026,59a,HORLICKS SML,14,70.00
AL NAHDA,30/08/2026,59b,HORLICKS LRG,14,112.00
AL NAHDA,30/08/2026,60a,HOT CHOC SML,19,95.00
AL NAHDA,30/08/2026,60b,HOT CHOC LRG,19,152.00
AL NAHDA,30/08/2026,61,HONEY CAKE,5,55.00
AL NAHDA,30/08/2026,62,ZAFRAN CAKE,4,56.00
AL NAHDA,30/08/2026,63,LOTUS CAKE,5,55.00
AL NAHDA,30/08/2026,64a,KARAK DELIVERY S,23,34.50
AL NAHDA,30/08/2026,64b,KARAK DELIVERY M,22,66.00
AL NAHDA,30/08/2026,64c,KARAK DELIVERY L,12,60.00
AL NAHDA,30/08/2026,126,B/CHKN,3,51.00
AL NAHDA,30/08/2026,127,CHKN WINGS,4,72.00
AL NAHDA,30/08/2026,128,CHKN 65 DRY,3,51.00
AL NAHDA,30/08/2026,129,DAL FRY,5,50.00
AL NAHDA,30/08/2026,130,GREEN PEAS MSL,6,60.00
AL NAHDA,30/08/2026,131,CHKN CHILLI,3,51.00
AL NAHDA,30/08/2026,132,BEEF MSL,4,68.00
AL NAHDA,30/08/2026,133,PRAWNS MSL,4,68.00
AL NAHDA,30/08/2026,134,GARLIC CHKN,4,68.00
AL NAHDA,30/08/2026,135,MTR MSHRM,4,60.00
AL NAHDA,30/08/2026,136,PNR KADAI,4,60.00
AL NAHDA,30/08/2026,137,PALAK PNR,5,60.00
AL NAHDA,30/08/2026,138,MSHRM MSL,5,50.00
AL NAHDA,30/08/2026,139,CHKN KADAI,3,48.00
AL NAHDA,30/08/2026,140,PNR BTR MSL,4,68.00
AL NAHDA,30/08/2026,141,PRAWNS CHILLI,3,51.00
AL NAHDA,30/08/2026,142,CHILLI PNR,4,68.00
AL NAHDA,30/08/2026,143,MTR PNR,4,68.00
AL NAHDA,30/08/2026,144,CHKN MANCHURIAN,3,51.00
AL NAHDA,30/08/2026,145,GOBI MSL,3,51.00
AL NAHDA,30/08/2026,146,PEPPER CHKN,4,68.00
AL NAHDA,30/08/2026,DLV,DELIVERY CHARGE,4,20.00
AL NAHDA,31/08/2026,52a,KARAK FLASK 1L,2,70.00
AL NAHDA,31/08/2026,52b,KARAK FLASK 2L,1,55.00
AL NAHDA,31/08/2026,53a,COFFEE MILK FLASK 1L,1,50.00
AL NAHDA,31/08/2026,53b,COFFEE MILK FLASK 2L,1,60.00
AL NAHDA,31/08/2026,54a,HABBAT AL HAMRA 1L,1,50.00
AL NAHDA,31/08/2026,54b,HABBAT AL HAMRA 2L,1,70.00
AL NAHDA,31/08/2026,55a,CAPPUCCINO SML,14,70.00
AL NAHDA,31/08/2026,55b,CAPPUCCINO LRG,13,104.00
AL NAHDA,31/08/2026,56a,SAHALAB SML,19,95.00
AL NAHDA,31/08/2026,56b,SAHALAB LRG,17,136.00
AL NAHDA,31/08/2026,57a,KASHMIRI TEA SML,12,60.00
AL NAHDA,31/08/2026,57b,KASHMIRI TEA LRG,20,160.00
AL NAHDA,31/08/2026,58a,BOOST SML,13,65.00
AL NAHDA,31/08/2026,58b,BOOST LRG,21,168.00
AL NAHDA,31/08/2026,59a,HORLICKS SML,22,110.00
AL NAHDA,31/08/2026,59b,HORLICKS LRG,15,120.00
AL NAHDA,31/08/2026,60a,HOT CHOC SML,14,70.00
AL NAHDA,31/08/2026,60b,HOT CHOC LRG,20,160.00
AL NAHDA,31/08/2026,61,HONEY CAKE,4,44.00
AL NAHDA,31/08/2026,62,ZAFRAN CAKE,4,56.00
AL NAHDA,31/08/2026,63,LOTUS CAKE,4,44.00
AL NAHDA,31/08/2026,64a,KARAK DELIVERY S,22,33.00
AL NAHDA,31/08/2026,64b,KARAK DELIVERY M,20,60.00
AL NAHDA,31/08/2026,64c,KARAK DELIVERY L,17,85.00
AL NAHDA,31/08/2026,126,B/CHKN,3,51.00
AL NAHDA,31/08/2026,127,CHKN WINGS,3,54.00
AL NAHDA,31/08/2026,128,CHKN 65 DRY,4,68.00
AL NAHDA,31/08/2026,129,DAL FRY,6,60.00
AL NAHDA,31/08/2026,130,GREEN PEAS MSL,3,30.00
AL NAHDA,31/08/2026,131,CHKN CHILLI,3,51.00
AL NAHDA,31/08/2026,132,BEEF MSL,4,68.00
AL NAHDA,31/08/2026,133,PRAWNS MSL,4,68.00
AL NAHDA,31/08/2026,134,GARLIC CHKN,4,68.00
AL NAHDA,31/08/2026,135,MTR MSHRM,3,45.00
AL NAHDA,31/08/2026,136,PNR KADAI,2,30.00
AL NAHDA,31/08/2026,137,PALAK PNR,4,48.00
AL NAHDA,31/08/2026,138,MSHRM MSL,4,40.00
AL NAHDA,31/08/2026,139,CHKN KADAI,4,64.00
AL NAHDA,31/08/2026,140,PNR BTR MSL,4,68.00
AL NAHDA,31/08/2026,141,PRAWNS CHILLI,4,68.00
AL NAHDA,31/08/2026,142,CHILLI PNR,4,68.00
AL NAHDA,31/08/2026,143,MTR PNR,4,68.00
AL NAHDA,31/08/2026,144,CHKN MANCHURIAN,4,68.00
AL NAHDA,31/08/2026,145,GOBI MSL,4,68.00
AL NAHDA,31/08/2026,146,PEPPER CHKN,3,51.00
AL NAHDA,31/08/2026,DLV,DELIVERY CHARGE,5,25.00
ROLLA,25/08/2026,52a,KARAK FLASK 1L,1,35.00
ROLLA,25/08/2026,52b,KARAK FLASK 2L,1,55.00
ROLLA,25/08/2026,53a,COFFEE MILK FLASK 1L,1,50.00
ROLLA,25/08/2026,53b,COFFEE MILK FLASK 2L,1,60.00
ROLLA,25/08/2026,54a,HABBAT AL HAMRA 1L,1,50.00
ROLLA,25/08/2026,54b,HABBAT AL HAMRA 2L,1,70.00
ROLLA,25/08/2026,55a,CAPPUCCINO SML,11,55.00
ROLLA,25/08/2026,55b,CAPPUCCINO LRG,12,96.00
ROLLA,25/08/2026,56a,SAHALAB SML,15,75.00
ROLLA,25/08/2026,56b,SAHALAB LRG,16,128.00
ROLLA,25/08/2026,57a,KASHMIRI TEA SML,13,65.00
ROLLA,25/08/2026,57b,KASHMIRI TEA LRG,11,88.00
ROLLA,25/08/2026,58a,BOOST SML,14,70.00
ROLLA,25/08/2026,58b,BOOST LRG,15,120.00
ROLLA,25/08/2026,59a,HORLICKS SML,12,60.00
ROLLA,25/08/2026,59b,HORLICKS LRG,14,112.00
ROLLA,25/08/2026,60a,HOT CHOC SML,11,55.00
ROLLA,25/08/2026,60b,HOT CHOC LRG,11,88.00
ROLLA,25/08/2026,61,HONEY CAKE,3,33.00
ROLLA,25/08/2026,62,ZAFRAN CAKE,4,56.00
ROLLA,25/08/2026,63,LOTUS CAKE,4,44.00
ROLLA,25/08/2026,64a,KARAK DELIVERY S,15,22.50
ROLLA,25/08/2026,64b,KARAK DELIVERY M,13,39.00
ROLLA,25/08/2026,64c,KARAK DELIVERY L,17,85.00
ROLLA,25/08/2026,126,B/CHKN,3,51.00
ROLLA,25/08/2026,127,CHKN WINGS,2,36.00
ROLLA,25/08/2026,128,CHKN 65 DRY,3,51.00
ROLLA,25/08/2026,129,DAL FRY,3,30.00
ROLLA,25/08/2026,130,GREEN PEAS MSL,4,40.00
ROLLA,25/08/2026,131,CHKN CHILLI,2,34.00
ROLLA,25/08/2026,132,BEEF MSL,3,51.00
ROLLA,25/08/2026,133,PRAWNS MSL,3,51.00
ROLLA,25/08/2026,134,GARLIC CHKN,3,51.00
ROLLA,25/08/2026,135,MTR MSHRM,2,30.00
ROLLA,25/08/2026,136,PNR KADAI,2,30.00
ROLLA,25/08/2026,137,PALAK PNR,5,60.00
ROLLA,25/08/2026,138,MSHRM MSL,4,40.00
ROLLA,25/08/2026,139,CHKN KADAI,3,48.00
ROLLA,25/08/2026,140,PNR BTR MSL,3,51.00
ROLLA,25/08/2026,141,PRAWNS CHILLI,2,34.00
ROLLA,25/08/2026,142,CHILLI PNR,3,51.00
ROLLA,25/08/2026,143,MTR PNR,2,34.00
ROLLA,25/08/2026,144,CHKN MANCHURIAN,4,68.00
ROLLA,25/08/2026,145,GOBI MSL,3,51.00
ROLLA,25/08/2026,146,PEPPER CHKN,2,34.00
ROLLA,25/08/2026,DLV,DELIVERY CHARGE,4,20.00
ROLLA,26/08/2026,52a,KARAK FLASK 1L,1,35.00
ROLLA,26/08/2026,52b,KARAK FLASK 2L,1,55.00
ROLLA,26/08/2026,53a,COFFEE MILK FLASK 1L,1,50.00
ROLLA,26/08/2026,53b,COFFEE MILK FLASK 2L,1,60.00
ROLLA,26/08/2026,54a,HABBAT AL HAMRA 1L,1,50.00
ROLLA,26/08/2026,54b,HABBAT AL HAMRA 2L,1,70.00
ROLLA,26/08/2026,55a,CAPPUCCINO SML,16,80.00
ROLLA,26/08/2026,55b,CAPPUCCINO LRG,14,112.00
ROLLA,26/08/2026,56a,SAHALAB SML,16,80.00
ROLLA,26/08/2026,56b,SAHALAB LRG,17,136.00
ROLLA,26/08/2026,57a,KASHMIRI TEA SML,15,75.00
ROLLA,26/08/2026,57b,KASHMIRI TEA LRG,12,96.00
ROLLA,26/08/2026,58a,BOOST SML,16,80.00
ROLLA,26/08/2026,58b,BOOST LRG,17,136.00
ROLLA,26/08/2026,59a,HORLICKS SML,13,65.00
ROLLA,26/08/2026,59b,HORLICKS LRG,18,144.00
ROLLA,26/08/2026,60a,HOT CHOC SML,16,80.00
ROLLA,26/08/2026,60b,HOT CHOC LRG,12,96.00
ROLLA,26/08/2026,61,HONEY CAKE,4,44.00
ROLLA,26/08/2026,62,ZAFRAN CAKE,4,56.00
ROLLA,26/08/2026,63,LOTUS CAKE,3,33.00
ROLLA,26/08/2026,64a,KARAK DELIVERY S,19,28.50
ROLLA,26/08/2026,64b,KARAK DELIVERY M,14,42.00
ROLLA,26/08/2026,64c,KARAK DELIVERY L,10,50.00
ROLLA,26/08/2026,126,B/CHKN,2,34.00
ROLLA,26/08/2026,127,CHKN WINGS,3,54.00
ROLLA,26/08/2026,128,CHKN 65 DRY,2,34.00
ROLLA,26/08/2026,129,DAL FRY,3,30.00
ROLLA,26/08/2026,130,GREEN PEAS MSL,4,40.00
ROLLA,26/08/2026,131,CHKN CHILLI,4,68.00
ROLLA,26/08/2026,132,BEEF MSL,2,34.00
ROLLA,26/08/2026,133,PRAWNS MSL,3,51.00
ROLLA,26/08/2026,134,GARLIC CHKN,3,51.00
ROLLA,26/08/2026,135,MTR MSHRM,3,45.00
ROLLA,26/08/2026,136,PNR KADAI,3,45.00
ROLLA,26/08/2026,137,PALAK PNR,5,60.00
ROLLA,26/08/2026,138,MSHRM MSL,3,30.00
ROLLA,26/08/2026,139,CHKN KADAI,3,48.00
ROLLA,26/08/2026,140,PNR BTR MSL,3,51.00
ROLLA,26/08/2026,141,PRAWNS CHILLI,2,34.00
ROLLA,26/08/2026,142,CHILLI PNR,2,34.00
ROLLA,26/08/2026,143,MTR PNR,2,34.00
ROLLA,26/08/2026,144,CHKN MANCHURIAN,3,51.00
ROLLA,26/08/2026,145,GOBI MSL,2,34.00
ROLLA,26/08/2026,146,PEPPER CHKN,3,51.00
ROLLA,26/08/2026,DLV,DELIVERY CHARGE,5,25.00
ROLLA,27/08/2026,52a,KARAK FLASK 1L,2,70.00
ROLLA,27/08/2026,52b,KARAK FLASK 2L,1,55.00
ROLLA,27/08/2026,53a,COFFEE MILK FLASK 1L,1,50.00
ROLLA,27/08/2026,53b,COFFEE MILK FLASK 2L,1,60.00
ROLLA,27/08/2026,54a,HABBAT AL HAMRA 1L,1,50.00
ROLLA,27/08/2026,54b,HABBAT AL HAMRA 2L,1,70.00
ROLLA,27/08/2026,55a,CAPPUCCINO SML,17,85.00
ROLLA,27/08/2026,55b,CAPPUCCINO LRG,16,128.00
ROLLA,27/08/2026,56a,SAHALAB SML,14,70.00
ROLLA,27/08/2026,56b,SAHALAB LRG,11,88.00
ROLLA,27/08/2026,57a,KASHMIRI TEA SML,18,90.00
ROLLA,27/08/2026,57b,KASHMIRI TEA LRG,15,120.00
ROLLA,27/08/2026,58a,BOOST SML,15,75.00
ROLLA,27/08/2026,58b,BOOST LRG,17,136.00
ROLLA,27/08/2026,59a,HORLICKS SML,14,70.00
ROLLA,27/08/2026,59b,HORLICKS LRG,13,104.00
ROLLA,27/08/2026,60a,HOT CHOC SML,12,60.00
ROLLA,27/08/2026,60b,HOT CHOC LRG,14,112.00
ROLLA,27/08/2026,61,HONEY CAKE,5,55.00
ROLLA,27/08/2026,62,ZAFRAN CAKE,4,56.00
ROLLA,27/08/2026,63,LOTUS CAKE,3,33.00
ROLLA,27/08/2026,64a,KARAK DELIVERY S,22,33.00
ROLLA,27/08/2026,64b,KARAK DELIVERY M,21,63.00
ROLLA,27/08/2026,64c,KARAK DELIVERY L,15,75.00
ROLLA,27/08/2026,126,B/CHKN,3,51.00
ROLLA,27/08/2026,127,CHKN WINGS,2,36.00
ROLLA,27/08/2026,128,CHKN 65 DRY,2,34.00
ROLLA,27/08/2026,129,DAL FRY,3,30.00
ROLLA,27/08/2026,130,GREEN PEAS MSL,4,40.00
ROLLA,27/08/2026,131,CHKN CHILLI,2,34.00
ROLLA,27/08/2026,132,BEEF MSL,3,51.00
ROLLA,27/08/2026,133,PRAWNS MSL,3,51.00
ROLLA,27/08/2026,134,GARLIC CHKN,3,51.00
ROLLA,27/08/2026,135,MTR MSHRM,2,30.00
ROLLA,27/08/2026,136,PNR KADAI,3,45.00
ROLLA,27/08/2026,137,PALAK PNR,3,36.00
ROLLA,27/08/2026,138,MSHRM MSL,3,30.00
ROLLA,27/08/2026,139,CHKN KADAI,2,32.00
ROLLA,27/08/2026,140,PNR BTR MSL,3,51.00
ROLLA,27/08/2026,141,PRAWNS CHILLI,2,34.00
ROLLA,27/08/2026,142,CHILLI PNR,2,34.00
ROLLA,27/08/2026,143,MTR PNR,2,34.00
ROLLA,27/08/2026,144,CHKN MANCHURIAN,2,34.00
ROLLA,27/08/2026,145,GOBI MSL,2,34.00
ROLLA,27/08/2026,146,PEPPER CHKN,3,51.00
ROLLA,27/08/2026,DLV,DELIVERY CHARGE,5,25.00
ROLLA,28/08/2026,52a,KARAK FLASK 1L,2,70.00
ROLLA,28/08/2026,52b,KARAK FLASK 2L,1,55.00
ROLLA,28/08/2026,53a,COFFEE MILK FLASK 1L,1,50.00
ROLLA,28/08/2026,53b,COFFEE MILK FLASK 2L,1,60.00
ROLLA,28/08/2026,54a,HABBAT AL HAMRA 1L,1,50.00
ROLLA,28/08/2026,54b,HABBAT AL HAMRA 2L,1,70.00
ROLLA,28/08/2026,55a,CAPPUCCINO SML,21,105.00
ROLLA,28/08/2026,55b,CAPPUCCINO LRG,17,136.00
ROLLA,28/08/2026,56a,SAHALAB SML,14,70.00
ROLLA,28/08/2026,56b,SAHALAB LRG,15,120.00
ROLLA,28/08/2026,57a,KASHMIRI TEA SML,18,90.00
ROLLA,28/08/2026,57b,KASHMIRI TEA LRG,14,112.00
ROLLA,28/08/2026,58a,BOOST SML,12,60.00
ROLLA,28/08/2026,58b,BOOST LRG,19,152.00
ROLLA,28/08/2026,59a,HORLICKS SML,12,60.00
ROLLA,28/08/2026,59b,HORLICKS LRG,16,128.00
ROLLA,28/08/2026,60a,HOT CHOC SML,18,90.00
ROLLA,28/08/2026,60b,HOT CHOC LRG,18,144.00
ROLLA,28/08/2026,61,HONEY CAKE,6,66.00
ROLLA,28/08/2026,62,ZAFRAN CAKE,3,42.00
ROLLA,28/08/2026,63,LOTUS CAKE,5,55.00
ROLLA,28/08/2026,64a,KARAK DELIVERY S,23,34.50
ROLLA,28/08/2026,64b,KARAK DELIVERY M,19,57.00
ROLLA,28/08/2026,64c,KARAK DELIVERY L,17,85.00
ROLLA,28/08/2026,126,B/CHKN,3,51.00
ROLLA,28/08/2026,127,CHKN WINGS,3,54.00
ROLLA,28/08/2026,128,CHKN 65 DRY,3,51.00
ROLLA,28/08/2026,129,DAL FRY,5,50.00
ROLLA,28/08/2026,130,GREEN PEAS MSL,5,50.00
ROLLA,28/08/2026,131,CHKN CHILLI,4,68.00
ROLLA,28/08/2026,132,BEEF MSL,4,68.00
ROLLA,28/08/2026,133,PRAWNS MSL,3,51.00
ROLLA,28/08/2026,134,GARLIC CHKN,4,68.00
ROLLA,28/08/2026,135,MTR MSHRM,4,60.00
ROLLA,28/08/2026,136,PNR KADAI,3,45.00
ROLLA,28/08/2026,137,PALAK PNR,5,60.00
